Date;Valeur (GW)
26/09/2023;39,3795
27/09/2023;39,04179
28/09/2023;39,00283
29/09/2023;40,233
30/09/2023;38,64937
01/10/2023;38,45708
02/10/2023;38,67229
03/10/2023;39,67063
04/10/2023;40,45958
05/10/2023;39,92517
06/10/2023;39,86476
07/10/2023;38,93279
08/10/2023;39,27125
09/10/2023;40,8625
10/10/2023;41,6
11/10/2023;40,97853
12/10/2023;39,83428
13/10/2023;40,68625
14/10/2023;41,54684
15/10/2023;42,75375
16/10/2023;42,21042
17/10/2023;41,91
18/10/2023;42,39204
19/10/2023;43,00646
20/10/2023;42,84792
21/10/2023;39,59051
22/10/2023;40,93295
23/10/2023;41,365
24/10/2023;41,365
25/10/2023;41,365
26/10/2023;40,69062
27/10/2023;41,74855
28/10/2023;38,62904
29/10/2023;38,34808
30/10/2023;38,22775
31/10/2023;39,50525
01/11/2023;40,22942
02/11/2023;40,69816
03/11/2023;40,72041
04/11/2023;38,70358
05/11/2023;36,35837
06/11/2023;35,27859
07/11/2023;37,06733
08/11/2023;37,01609
09/11/2023;37,7785
10/11/2023;38,47734
11/11/2023;37,84396
12/11/2023;36,97667
13/11/2023;36,36171
14/11/2023;37,70058
15/11/2023;38,62308
16/11/2023;40,20083
17/11/2023;40,67883
18/11/2023;41,14207
19/11/2023;41,13218
20/11/2023;40,65484
21/11/2023;41,8663
22/11/2023;41,705
23/11/2023;43,00083
24/11/2023;43,71483
25/11/2023;42,36614
26/11/2023;43,29971
27/11/2023;43,50938
28/11/2023;43,62584
29/11/2023;43,525
30/11/2023;43,49916
01/12/2023;42,85271
02/12/2023;41,60896
03/12/2023;42,12175
04/12/2023;43,72312
05/12/2023;44,96679
06/12/2023;45,54917
07/12/2023;45,80042
08/12/2023;45,16655
09/12/2023;43,94787
10/12/2023;43,42362
11/12/2023;44,16987
12/12/2023;44,8255
13/12/2023;44,94868
14/12/2023;45,23167
15/12/2023;46,22621
16/12/2023;46,90684
17/12/2023;47,66417
18/12/2023;48,77958
19/12/2023;47,58317
20/12/2023;47,3328
21/12/2023;45,21729
22/12/2023;45,73308
23/12/2023;44,11554
24/12/2023;43,56713
25/12/2023;42,90954
26/12/2023;42,94579
27/12/2023;43,00304
28/12/2023;42,0925
29/12/2023;43,90958
30/12/2023;44,12583
31/12/2023;44,91663
